Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Apple Raspberry Salad,Salads and Vegetables,Salads,96,402,2.6,0.2,0,26,10.3,2.4,6.4,9,11,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Apple-Raspberry-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NDU4.html
"
"Apple, Avocado and Sweet Onion Salad",Salads and Vegetables,Salads,220,921,8.2,1.2,0,274,38.2,10.5,20.1,3.7,75,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Apple-Avocado-and-Sweet-Onion-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NjU.html
"
Artichoke and Roasted Red Pepper Salad,Salads and Vegetables,Salads,105,440,1,1.8,0,150,19,5,4,5,70,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Artichoke-and-Roasted-Red-Pepper-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NjE3.html
"
Avocado and Tomato salad,Salads and Vegetables,Salads,214,897,15,4.5,0,264,19.3,7.7,4.5,3.8,61,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Avocado-and-Tomato-salad_Y2lkPTEzJnNpZD0yOCZyaWQ9MzQ3.html
"
Beet and Beansprout Salad with Lemon Garlic Dressing,Salads and Vegetables,Salads,150,628,13,0,0,140,5,1,1.2,2,5,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Beet-and-Beansprout-Salad-with-Lemon-Garlic-Dressing_Y2lkPTEzJnNpZD0yOCZyaWQ9NTE.html
"
Black-Eyed Peas and Walnut Lettuce Wraps,Salads and Vegetables,Salads,234,980,10.8,1,0,141,29.6,8,5.3,10,79,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Black-Eyed-Peas-and-Walnut-Lettuce-Wraps_Y2lkPTEzJnNpZD0yOCZyaWQ9NzM3.html
"
Cantaloupe and Ginger Salad,Salads and Vegetables,Salads,213,889,9.3,1.3,8,565,30.1,4.3,20.3,5.6,123,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Cantaloupe-and-Ginger-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9MTE1.html
"
Chicken and Artichoke Salad,Salads and Vegetables,Salads,233,973,2.3,0.5,77,718,19.1,4,10.3,34.6,52,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Chicken-and-Artichoke-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9Mjk2.html
"
Happy Health Salad,Salads and Vegetables,Salads,90,377,0.6,0.1,0,94,19.4,1.9,2,2,20,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Happy-Health-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9MTQ0.html
"
"Idaho Potato, Broccoli and Fennel Salad",Salads and Vegetables,Salads,267,1118,9,0.7,9,365,41.5,5,4,5,48,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Idaho-Potato-Broccoli-and-Fennel-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NTI3.html
"
Kidney Bean Salad,Salads and Vegetables,Salads,94,392,1.1,0.2,2,507,15.1,3.8,4.2,6.4,30,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Kidney-Bean-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9ODEz.html
"
Lentils with Beets and Feta,Salads and Vegetables,Salads,135,563,4.7,2.2,11,185,16.8,5.9,5.5,7.6,106,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Lentils-with-Beets-and-Feta_Y2lkPTEzJnNpZD0yOCZyaWQ9NDky.html
"
Lima Bean Salad with Fresh Herb Vinaigrette,Salads and Vegetables,Salads,128,536,4.3,0.6,0,11,18,6,4,6,29,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Lima-Bean-Salad-with-Fresh-Herb-Vinaigrette_Y2lkPTEzJnNpZD0yOCZyaWQ9NzA0.html
"
"Roasted Spinach, Sweet Potato and Beet Salad",Salads and Vegetables,Salads,142,592,5.1,2.3,10,159,20.1,4.6,10.5,6.6,185,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Roasted-Spinach-Sweet-Potato-and-Beet-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9MTI4.html
"
Strawberry Summer Salad,Salads and Vegetables,Salads,123,515,4,2,11,20,21,4,17,2,53,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Strawberry-Summer-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NTQ2.html
"
Viennese Salad,Salads and Vegetables,Salads,107,446,0.3,0.1,0,19,28,3.5,19,1.1,20,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Viennese-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NjQ.html
"
Waldorf Salad,Salads and Vegetables,Salads,210,878,5.7,0.8,2,183,40.7,7.5,30,4.1,107,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Salads/Waldorf-Salad_Y2lkPTEzJnNpZD0yOCZyaWQ9NTM.html
"
Asparagus with Fresh Grape Relish,Salads and Vegetables,Vegetable Dishes,123,461,3,0.7,0,108,20.8,3.3,13.6,3.3,47,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Asparagus-with-Fresh-Grape-Relish_Y2lkPTEzJnNpZD0yNyZyaWQ9NTM3.html
"
Brussels Sprouts with Bacon and Almonds,Salads and Vegetables,Vegetable Dishes,161,674,13,3,7,111,8,2.6,2,5,41,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Brussels-Sprouts-with-Bacon-and-Almonds_Y2lkPTEzJnNpZD0yNyZyaWQ9MTAz.html
"
Cracked Wheat and Vegetable Pilaf,Salads and Vegetables,Vegetable Dishes,137,573,0.8,0.1,0,354,31.5,6.4,5.1,4.9,40,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Cracked-Wheat-and-Vegetable-Pilaf_Y2lkPTEzJnNpZD0yNyZyaWQ9MjE0.html
"
Ginger Smashed Potatoes with Dill,Salads and Vegetables,Vegetable Dishes,236,988,6.5,4,19,390,39,6,4,6.4,67,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Ginger-Smashed-Potatoes-with-Dill_Y2lkPTEzJnNpZD0yNyZyaWQ9NDU0.html
"
